m0_binning   50  10  500  10
m12_binning  26  100  350  10
NscanPoints  1300
    m0    m12      Xsec     n_sig    n_sb    n_sig_sl   n_sb_sl  n_sig_ldp  n_sb_ldp
    10    100    9785.000      3      2      0      2      0      0
    10    110    3860.000      3      1      1      0      2      0
    10    120     319.800     35     26     11     14      8      7
    10    130     171.400     59     47     15      9      8      9
    10    140     111.800     84     66     25     18      6     15
    10    150      75.470    123     64     33     22      6     16
    10    160      53.870    134     62     41     25     19     13
    10    170      39.470    188    113     39     25     15     13
    10    180      28.960    201     72     52     32     23     17
    10    190      21.550    213     87     80     23     28     24
    10    200      16.460    263     70     90     39     20     19
    10    210      12.640    261     78     95     40     29     18
    10    220       9.721    268     71    112     35     33     18
    10    230       7.662    312     83    140     37     29     22
    10    240       6.151    295     61    149     28     27     17
    10    250       4.864    310     72    163     39     30     17
    10    260       3.907    326     79    163     38     26     17
    10    270       3.141    334     66    201     31     21     17
    10    280       2.541    328     52    200     32     30     14
    10    290       2.098    367     59    192     40     26     21
    10    300       1.719    374     53    196     33     52     17
    10    310       1.400    343     57    226     34     50     20
    10    320       1.180    366     65    221     41     45     17
    10    330       0.975    380     45    220     23     47     13
    10    340       0.818    339     35    223     31     51     20
    10    350       0.688    340     37    198     29     40     17
    20    100    9618.000      1      2      0      0      1      0
    20    110    3821.000      4      9      1      1      0      2
    20    120     311.200     40     32      9     12      2      4
    20    130     168.300     73     54     12     16      6     10
    20    140     110.100     79     63     17     18     11     18
    20    150      74.600    108     81     24     26     18      6
    20    160      54.350    131     66     37     27     29     14
    20    170      38.970    151     83     35     27     14     18
    20    180      28.590    188     73     48     20     16     20
    20    190      21.620    235     83     59     22     32     22
    20    200      16.400    236     85     74     34     23     20
    20    210      12.610    267     66     99     23     31     19
    20    220       9.831    280     77    107     30     50     17
    20    230       7.647    286     80    115     33     41     16
    20    240       6.056    315     60    155     38     40     21
    20    250       4.842    316     72    156     41     38     19
    20    260       3.882    323     65    158     49     35     20
    20    270       3.116    343     55    178     34     32     22
    20    280       2.528    341     52    212     35     33     29
    20    290       2.073    310     57    212     34     34     15
    20    300       1.708    341     64    223     43     51     21
    20    310       1.389    353     57    232     34     41     20
    20    320       1.173    349     59    221     38     45     16
    20    330       0.964    333     41    218     39     47     15
    20    340       0.819    364     46    230     35     31     22
    20    350       0.690    357     35    228     35     43     19
    30    100    9373.000      2      1      0      0      0      1
    30    110    3743.000      7      2      1      1      0      1
    30    120     309.200     46     37     10     13      4     10
    30    130     167.200     78     44     20     22     11      9
    30    140     109.300     86     57     23     28      9     24
    30    150      74.510     84     63     37     31     15     13
    30    160      53.330    143     79     26     24     22     19
    30    170      38.860    180     75     53     38     22     15
    30    180      28.830    185     85     42     23     26     24
    30    190      21.550    209     80     59     28     19     15
    30    200      16.280    259    104     65     26     32     17
    30    210      12.500    260     83     84     35     21     16
    30    220       9.794    289     66    110     29     24     18
    30    230       7.708    322     72    111     31     36     19
    30    240       6.046    345     63    129     30     39     22
    30    250       4.817    342     65    144     41     43     12
    30    260       3.854    312     61    177     32     28     20
    30    270       3.104    329     75    157     24     32     15
    30    280       2.529    350     57    182     39     24     26
    30    290       2.056    340     49    216     39     42     18
    30    300       1.698    404     50    185     44     44     12
    30    310       1.395    376     54    217     38     36     17
