m0_binning   100  10  1000  10
m12_binning  36  100  450  10
NscanPoints  3595
    m0    m12      Xsec     n_sig    n_sb    n_sig_sl   n_sb_sl  n_sig_ldp  n_sb_ldp
    10    100    3419.000      2      1      0      0      0      0
    10    110     541.000      8      9      4      1      0      4
    10    120     224.800     10     28      0      6      5     10
    10    130     146.900     18     21      4     12      3      9
    10    140     101.000     24     33      6      5      3     12
    10    150      70.440     24     38      6     10      3     12
    10    160      50.770     42     39      9     12      4     12
    10    170      37.260     43     25     11     10      3     10
    10    180      27.850     62     48      9     12      6     15
    10    190      21.030     74     53     30     14     10     19
    10    200      15.980     72     43     21     14      5     21
    10    210      12.380     82     42     34     26     11     14
    10    220       9.670    100     48     36     15      4     19
    10    230       7.513    115     50     25     13     14     13
    10    240       5.979    138     45     49     31      6     16
    10    250       4.794    137     45     58     26     11     21
    10    260       3.854    158     49     58     30     11      8
    10    270       3.080    151     41     65     29      7     10
    10    280       2.494    155     30     66     22     15     26
    10    290       2.058    171     41     91     26     17     19
    10    300       1.704    158     31     98     18     17     16
    10    310       1.401    169     26    113     20     15     17
    10    320       1.173    206     29     99     19     16     19
    10    330       0.969    163     43    105     28     21     11
    10    340       0.809    195     21    114     26     22     15
    10    350       0.688    193     27    105     20     19     13
    10    360       0.578    180     21    150     20     15     12
    10    370       0.487    197     36    123     17     14     10
    10    380       0.419    173     23    122     14     14      4
    10    390       0.356    177     28    142     17     19      6
    10    400       0.302    200     17    131     19     18     16
    10    410       0.260    189     15    152     22     10     11
    10    420       0.226    186     19    136     17     15      8
    10    430       0.196    156     17    123     11     25      8
    10    440       0.167    147     11    147     17     13      2
    10    450       0.144    158     11    133     12     22      5
    20    100    3075.000      1      7      0      0      1      2
    20    110     414.900     11     14      1      3      0      8
    20    120     223.400     10     20      5      6      2     10
    20    130     146.200     22     30      3     12      4     17
    20    140     100.800     21     38      3     10      7     10
    20    150      70.220     21     45      9     15      4     10
    20    160      50.130     34     37     11     12      4     15
    20    170      37.290     40     34     10     15      3     18
    20    180      27.750     50     41     13     18      5     21
    20    190      20.780     66     37     15     12      5      9
    20    200      15.850     89     51     19     25      8     18
    20    210      12.160     88     51     28     21      2     18
    20    220       9.499     96     40     34     18     11     18
    20    230       7.544    120     44     27     16     12     21
    20    240       5.953    123     38     59     25     13     12
    20    250       4.770    144     51     52     26     14      9
    20    260       3.793    165     46     56     27     20     17
    20    270       3.112    160     44     84     20      9     19
    20    280       2.505    173     45     79     20     19     15
    20    290       2.036    152     37     97     24     20     11
    20    300       1.691    192     42     92     29     19     12
    20    310       1.388    166     39    111     26     10      6
    20    320       1.161    188     24     93     23     10     12
    20    330       0.969    173     27     99     17     26     17
    20    340       0.805    189     32    139     20      6     15
    20    350       0.685    196     28    140     21     13     20
    20    360       0.574    185     34    130     21     16     17
    20    370       0.485    181     25    140     25      8     12
    20    380       0.414    159     20    152     19     20     12
    20    390       0.352    183     23    129     16     12      8
    20    400       0.304    157     19    153     24     23     10
    20    410       0.258    182     15    140     17     27      9
    20    420       0.225    173     15    154     27     16      6
    20    430       0.194    155     12    145     12     21      9
    20    440       0.168    129      8    143     18     14      5
    20    450       0.145    141     11    135     16     13      9
    30    100    2650.000      1      1      0      1      1      2
    30    110     375.500      9     14      1      4      0      9
    30    120     220.400     14     22      2      3      2     10
    30    130     143.600     19     32      3      4      1     14
    30    140      97.660     33     38      7      7      4     12
    30    150      68.790     25     45      3      6      2     13
    30    160      49.880     31     44      9     14      8     19
    30    170      36.680     53     38     14     10      3     15
    30    180      27.240     44     44     18     13      8      8
    30    190      20.820     62     44     20     14     11     16
    30    200      15.730     80     69     29     16      8     18
    30    210      12.130     82     42     25     18      5     22
    30    220       9.491     89     50     33     21      4     17
    30    230       7.503    111     57     41     18      6     11
