m0_binning   100  10  1000  10
m12_binning  36  100  450  10
NscanPoints  3595
    m0    m12      Xsec     n_sig    n_sb    n_sig_sl   n_sb_sl  n_sig_ldp  n_sb_ldp
    10    100    3419.000      9      4      1      1      3      0
    10    110     541.000     29     20     11      9      2      6
    10    120     224.800     62     61     17     14      8     12
    10    130     146.900     85     61     26     21     11     12
    10    140     101.000    108     76     29     22     14     16
    10    150      70.440    134     76     35     24     16     13
    10    160      50.770    161     80     39     27     21     13
    10    170      37.260    187     76     55     23     18     18
    10    180      27.850    216     85     66     28     23     23
    10    190      21.030    236     87     88     33     26     24
    10    200      15.980    247     76     76     34     28     29
    10    210      12.380    259     96     93     45     38     18
    10    220       9.670    286     80    103     28     30     23
    10    230       7.513    308     75    120     28     32     16
    10    240       5.979    333     77    138     51     25     18
    10    250       4.794    283     68    145     39     32     22
    10    260       3.854    329     72    147     47     31     12
    10    270       3.080    298     64    176     47     36     11
    10    280       2.494    319     46    170     33     44     27
    10    290       2.058    333     58    182     38     38     19
    10    300       1.704    314     46    205     30     38     17
    10    310       1.401    307     29    217     33     43     17
    10    320       1.173    337     38    203     24     33     21
    10    330       0.969    300     50    208     40     40     13
    10    340       0.809    299     25    222     31     42     15
    10    350       0.688    315     33    197     25     44     13
    10    360       0.578    264     27    225     28     34     14
    10    370       0.487    276     41    201     23     29     10
    10    380       0.419    256     25    194     22     41      4
    10    390       0.356    256     35    213     20     40      7
    10    400       0.302    278     24    205     24     39     16
    10    410       0.260    246     19    206     25     31     11
    10    420       0.226    246     22    192     23     30      8
    10    430       0.196    216     20    193     16     37      8
    10    440       0.167    203     13    196     19     27      2
    10    450       0.144    196     12    187     20     32      5
    20    100    3075.000      7     13      1      0      1      4
    20    110     414.900     46     32      7      6      3     12
    20    120     223.400     59     53     19     11     12     14
    20    130     146.200     99     70     19     18     12     21
    20    140     100.800    129     82     21     23     21     12
    20    150      70.220    138     73     29     26     14     12
    20    160      50.130    160     80     50     30     14     22
    20    170      37.290    187     76     51     32     20     22
    20    180      27.750    193     97     59     33     23     29
    20    190      20.780    251     83     65     27     26     19
    20    200      15.850    249     93     81     43     37     24
    20    210      12.160    258     84     95     35     19     22
    20    220       9.499    284     62     93     40     26     21
    20    230       7.544    305     69    108     26     33     22
    20    240       5.953    306     56    146     43     27     12
    20    250       4.770    343     81    132     47     35     11
    20    260       3.793    343     59    151     43     36     19
    20    270       3.112    333     62    161     34     37     25
    20    280       2.505    325     66    190     31     48     15
    20    290       2.036    335     52    201     37     42     13
    20    300       1.691    333     57    189     36     35     12
    20    310       1.388    300     48    191     36     36      7
    20    320       1.161    319     34    190     32     23     14
    20    330       0.969    293     36    205     27     39     19
    20    340       0.805    285     40    256     28     25     15
    20    350       0.685    298     36    232     26     37     22
    20    360       0.574    287     45    226     28     37     18
    20    370       0.485    264     30    227     32     26     14
    20    380       0.414    236     23    218     23     41     13
    20    390       0.352    251     26    217     21     30      9
    20    400       0.304    229     20    228     31     42     11
    20    410       0.258    247     16    200     24     40     10
    20    420       0.225    234     17    210     32     31      6
    20    430       0.194    215     15    202     16     45      9
    20    440       0.168    176      9    203     19     31      5
    20    450       0.145    194     11    190     20     25      9
    30    100    2650.000      6      5      0      1      1      2
    30    110     375.500     43     40      5      7      6      9
    30    120     220.400     81     48     13      9      5     13
    30    130     143.600     95     78     19     14      8     18
