Nm3jbins 5
m0_binning   100  10  1000  10
m12_binning  36  100  450  10
NscanPoints  3592
    m0    m12      Xsec     nsel    n_a    n_d      sb1     sb2     sb3     sb4     sb5  slmsb1  slmsb2  slmsb3  slmsb4  slmsb5   slsb1   slsb2   slsb3   slsb4   slsb5  slsig1  slsig2  slsig3  slsig4  slsig5
    10    100    3419.000     23      2      7        3       4       6       2       2       0       0       0       1       2       1       1       0       1       0       0       0       4       0       0 
    10    110     541.000    100     12     19       11       8      19      20       3       1       1       6       6       1       2       2       9       3       0       3       3      11       8       5 
    10    120     224.800    214     36     36       15      18      42      25      16       5       3       9       6       5       2       6      11      10       3       9       5      24       5       2 
    10    130     146.900    247     23     54       19      29      46      35       7       6       1       9       9       4       4       6      20      11       7       7      11      26      19      10 
    10    140     101.000    324     32     53       15      25      48      39      18       6       7      10       9       6       3      14      11      11       3       8      16      22      19      13 
    10    150      70.440    386     36     61       17      27      44      19      22       5      11      10       6       3       6       7      23       7       7      11      18      26      20       7 
    10    160      50.770    408     29     68       14      24      48      24      20       4       9      11      10       2      10      12      15      11       9      15      22      39      20      16 
    10    170      37.260    410     23     58       25      24      46      26      18       4       9      12       5       6       3       9      11       5       3      21      26      28      36      10 
    10    180      27.850    498     37     80        9      33      41      24      23       1       7      17      11       2      12       6      12       9       3      27      25      41      30      12 
    10    190      21.030    490     25     95       13      19      42      34      15       5       7      12      10       6       7       7      18       6       8      27      36      66      38      12 
    10    200      15.980    513     30     90       12      21      40      24       7       4       6      11      10       5       5       7      14      11       4      21      45      58      29      20 
    10    210      12.380    540     33     99       17      26      47      25       9       5       2      14       6       1       9       8      16      11       5      22      35      63      53      22 
    10    220       9.670    555     31     85       17      20      34      17      14       1       3      13       4       4       7      10      18      18       4      30      42      55      42      23 
    10    230       7.513    588     26     92       13      24      39      30      13       5      11       8       9       9       6       7      22      13       6      26      34      86      46      29 
    10    240       5.979    626     28     89        5      17      39      16       6       1       4       4       1       1       6      11      13       3       6      35      59      72      58      34 
    10    250       4.794    541     18     97       10       9      22      12      11       5       7      16       5       5       4      11      17       9       7      47      54      89      57      26 
    10    260       3.854    610     25     95        9      18      33      18      13       3       4      11       8       3       5       6      13       6       6      36      60      96      61      30 
    10    270       3.080    591     27     84       15      24      23      17       8       5       7      10       9       2      11       9      21      15       7      40      73     105      64      25 
    10    280       2.494    550     14    112        9      13      23      20      19       8       4       6      13       8      11       8      14       7       4      34      65     103      58      31 
    10    290       2.058    588     18     92        5      14      24       9       8       3       9       6       2       1       6       5      12       9       6      41      78     109      51      34 
    10    300       1.704    544     11     97        7      10      22       9       9       4       9      11       8       3       7      12      13      11       8      37      79     110      66      36 
    10    310       1.401    508     20    102        4      17      22      11       6       1       6       8       9       4       4      12      11      11       2      28      81     115      74      35 
    10    320       1.173    538     22     90        7      11      14      11      12       4       8       6       7       3       3       9      15       9       1      40      89     103      55      42 
    10    330       0.969    531     20     95        6       8      17       7       7       4       5       4       6       1       8       8      19      13       7      45      82     101      74      36 
    10    340       0.809    501     18     88        1      13      26       9       3       2       6      13       3       2       4      11       7       5       9      30      70     126      85      47 
    10    350       0.688    499     15     97        7       8      17      11       5       5      10       4       4       2       4      12      11       7       2      40      72      98      82      39 
    10    360       0.578    473     13     71        2      10      14      10       4       3       3       7       3       4       4      10      14       6       5      38      75     109      81      49 
    10    370       0.487    475     17     75        1       7      22      11       9       1       6       2       4       0       3       5      16      12       5      31      62     105      88      53 
    10    380       0.419    460     13     80        5       4      15       7       8       4       5       7       3       2       4      12      19       7       3      40      60      86      67      43 
    10    390       0.356    443     11     73        5       9      11       8      10       4       5       7       4       2       5       9       9       6       4      39      58     114      67      55 
    10    400       0.302    469      8     87        4       9      12       9       3       1       8       7       3       6       4       9       5       3       5      31      64     114      76      39 
    10    410       0.260    423     13     69        4       5      12       6       5       2       2       4       2       4       3       8       8       5       5      36      52      95      76      65 
    10    420       0.226    409      8     73        1      12      11       6       3       1       8       1       2       5       2       5       8      11       3      42      64      88      74      47 
    10    430       0.196    348      9     74        3       2      14       6       8       3       5       7       1       0       5       2       8       8       5      21      53     100      72      59 
    10    440       0.167    374      7     63        6       2       6       6       5       2       4       6       3       2       4       5      11       5       1      34      62     128      62      45 
    10    450       0.144    333      7     63        2       2       3      11       3       3       3       4       4       1       2       5       3       4       4      27      54     102      76      63 
    20    100    3075.000     34      1      6        4       1       4       1       1       0       3       0       0       0       0       0       3       1       1       0       0       2       0       1 
    20    110     414.900    140     24     27       11      11      40      15      12       3       2       7       6       3       4       5      14       7       2       5       4       7       6       2 
    20    120     223.400    207     23     31       12      17      40      28      10       4       9       9       5       4       2       5      10       3       7       6       6      14      12       8 
