m0_binning   50  10  500  10
m12_binning  26  100  350  10
NscanPoints  1300
    m0    m12      Xsec     nsel    n_a    n_d     sb     slsb     slsig
    10    100    9785.000      1      0      0      1      0      0
    10    110    3860.000      3      0      1      2      0      0
    10    120     319.800     31      7      4     39     20      9
    10    130     171.400     43     12      8     35     12     10
    10    140     111.800     57     13     11     72     21     15
    10    150      75.470     80     17     10     61     23     14
    10    160      53.870     97     15     16     69     29     25
    10    170      39.470    108     19     23     95     32     34
    10    180      28.960    126     13     25     83     24     37
    10    190      21.550    161     17     19     97     22     50
    10    200      16.460    174     16     24     84     35     64
    10    210      12.640    195     12     30     88     43     68
    10    220       9.721    200     19     22     79     27     84
    10    230       7.662    244     17     27     79     47     99
    10    240       6.151    208     11     24     62     35    113
    10    250       4.864    253     17     24     68     38    112
    10    260       3.907    242     15     23     91     39    124
    10    270       3.141    251     12     36     81     40    149
    10    280       2.541    259      8     28     60     34    146
    10    290       2.098    258     15     26     57     40    139
    10    300       1.719    308      8     39     64     44    165
    10    310       1.400    243     13     44     56     35    169
    10    320       1.180    284     11     42     64     51    155
    10    330       0.975    274      6     39     47     37    166
    10    340       0.818    268     11     32     41     24    189
    10    350       0.688    246      9     37     30     44    149
    20    100    9618.000      1      1      0      4      0      0
    20    110    3821.000      3      1      0     11      1      0
    20    120     311.200     28      4      3     43     16      6
    20    130     168.300     55     14      9     54     17     14
    20    140     110.100     58      9     15     64     23     13
    20    150      74.600     80      9     14     72     25     16
    20    160      54.350     98     20     25     82     31     29
    20    170      38.970    105     13     12     91     33     37
    20    180      28.590    137     21     15     69     17     39
    20    190      21.620    184     20     18     89     25     50
    20    200      16.400    175     12     23    114     43     46
    20    210      12.610    218     18     24     64     26     85
    20    220       9.831    217     17     37     77     23     78
    20    230       7.647    212     17     30     80     37     94
    20    240       6.056    211     14     27     78     43    119
    20    250       4.842    241     18     26     80     28    118
    20    260       3.882    235     26     25     56     45    110
    20    270       3.116    257     17     31     54     37    139
    20    280       2.528    266     20     27     76     43    149
    20    290       2.073    221     13     25     50     47    147
    20    300       1.708    276     14     40     69     47    172
    20    310       1.389    263      8     38     66     38    175
    20    320       1.173    262     13     31     54     40    150
    20    330       0.964    263     12     42     44     49    160
    20    340       0.819    286     10     33     44     41    184
    20    350       0.690    301     10     34     40     39    176
    30    100    9373.000      1      0      0      3      1      0
    30    110    3743.000      1      0      0      5      1      2
    30    120     309.200     32      7      5     43     14      3
    30    130     167.200     51     11     11     49     30     14
    30    140     109.300     50     20     11     56     32     21
    30    150      74.510     64     18     15     64     28     25
    30    160      53.330     94     15     16     77     38     22
    30    170      38.860    123      4     22     70     34     54
    30    180      28.830    132     17     23     88     26     27
    30    190      21.550    137     17     20     88     28     47
    30    200      16.280    191     17     22    104     25     54
    30    210      12.500    174     14     19     91     24     56
    30    220       9.794    231     13     29     98     32     86
    30    230       7.708    230     13     31     84     35     75
    30    240       6.046    228     19     32     67     35    107
    30    250       4.817    259      8     41     61     45    114
    30    260       3.854    244     14     34     60     42    133
    30    270       3.104    226     12     26     79     41    127
    30    280       2.529    265     16     36     72     41    129
    30    290       2.056    256     11     36     48     46    170
    30    300       1.698    304      9     38     52     41    149
    30    310       1.395    275     11     31     64     30    159
    30    320       1.166    292     12     34     64     35    163
    30    330       0.975    272     10     26     67     39    163
    30    340       0.817    265      9     38     48     32    180
    30    350       0.687    245     13     32     30     43    173
    40    100    9340.000      5      0      0      1      2      0
    40    110    3652.000      4      2      1      2      0      1
    40    120     306.400     33      3      9     36     11      4
    40    130     164.900     43      8      6     57     18     23
    40    140     107.100     57     14      6     73     33     20
    40    150      73.830     60     14     15     70     26     22
    40    160      52.330     95     11     11     66     32     22
    40    170      38.530    105     22     22     83     27     29
    40    180      28.480    121      9     29     93     34     36
    40    190      21.190    151     22     18     79     25     38
    40    200      16.260    202     15     21     86     34     51
    40    210      12.500    211     11     28     71     22     74
    40    220       9.642    206     28     35     76     28     64
    40    230       7.556    222     19     31     90     36     72
    40    240       6.006    222     17     13     84     31     88
    40    250       4.812    266     15     29     82     48    130
    40    260       3.802    287     15     38     76     31    117
    40    270       3.093    264     14     34     67     35    130
    40    280       2.496    259     16     34     68     46    115
    40    290       2.075    275     17     35     59     29    127
    40    300       1.683    293     11     39     54     36    178
    40    310       1.383    280     18     41     49     38    165
    40    320       1.146    301     11     46     71     52    179
    40    330       0.956    273     13     43     56     39    153
    40    340       0.803    283     13     28     55     31    180
    40    350       0.676    280     12     50     53     42    153
    50    100    9202.000      1      1      0      1      1      0
    50    110    3557.000      3      0      0      3      0      1
    50    120     295.200     35     11      8     48      8     10
    50    130     162.600     34     10      5     66     26     14
    50    140     106.000     66     11     12     55     27     21
    50    150      72.510     69     16     16     85     25     36
    50    160      52.230     83     23     14     83     20     38
    50    170      37.990     95     12     15     90     32     33
    50    180      28.190    122     23     27     88     34     30
    50    190      20.880    147     15     25     85     32     58
    50    200      15.960    169      8     21     76     33     53
    50    210      12.300    171     23     30     95     41     58
    50    220       9.520    221     22     25     87     40     62
    50    230       7.523    265     12     40     98     52     67
    50    240       5.970    239     15     26     87     40    106
    50    250       4.770    266     16     35     83     37    110
    50    260       3.783    261     11     32     85     39    101
    50    270       3.074    273      9     33    101     28    118
    50    280       2.500    278     18     33     70     26    134
    50    290       2.026    272     14     39     63     42    130
    50    300       1.678    301     19     40     71     44    155
    50    310       1.365    314     17     46     66     37    155
    50    320       1.142    310      8     38     60     33    148
    50    330       0.957    302     12     35     44     41    171
    50    340       0.800    275     12     45     51     37    166
    50    350       0.667    287     13     40     44     36    178
    60    100    9043.000      0      1      0      1      0      0
    60    110    3430.000      7      0      0      3      0      0
    60    120     292.200     43      4      8     40     10      4
    60    130     161.800     52     11     12     68     18     18
    60    140     102.900     69     19     21     62     19     23
    60    150      71.510     80     15     13     76     30     20
    60    160      50.920     97     14      5     70     35     33
    60    170      37.740    104     18     19     85     34     36
    60    180      27.860    113     23     17     85     33     46
    60    190      20.950    146      9     18     85     29     62
    60    200      15.760    163     13     24     90     36     41
    60    210      12.090    204     22     26    105     29     60
    60    220       9.651    179     16     33     91     37     63
