m0_binning   100  10  1000  10
m12_binning  36  100  450  10
NscanPoints  3595
    m0    m12      Xsec     nsel    n_a    n_d     sb     slsb     slsig
    10    100    3419.000      7      2      3      8      1      1
    10    110     541.000     25      9      2     19      7     11
    10    120     224.800     47     24     10     73     18     10
    10    130     146.900     59     11     13     72     24     17
    10    140     101.000     74     17     17     90     21     31
    10    150      70.440     89     15     11     78     23     21
    10    160      50.770    115     11     21     84     27     23
    10    170      37.260    133     16     16     90     24     37
    10    180      27.850    158     18     23     82     33     48
    10    190      21.030    160     13     16     89     36     70
    10    200      15.980    184     19     19     87     36     59
    10    210      12.380    190     12     29    100     47     63
    10    220       9.670    210     17     18     87     37     70
    10    230       7.513    212     12     22     79     38     90
    10    240       5.979    251     21     34     77     46     92
    10    250       4.794    210     14     29     73     41    109
    10    260       3.854    253     16     32     78     41    101
    10    270       3.080    203     11     32     79     44    121
    10    280       2.494    246     15     35     66     50    132
    10    290       2.058    229     15     31     60     32    137
    10    300       1.704    213     16     31     50     39    151
    10    310       1.401    224     10     41     55     39    152
    10    320       1.173    211     10     26     45     29    160
    10    330       0.969    216     13     36     45     43    156
    10    340       0.809    214     10     30     36     36    169
    10    350       0.688    227     10     32     35     31    164
    10    360       0.578    200     10     21     38     42    154
    10    370       0.487    212     14     21     48     28    155
    10    380       0.419    209      4     34     35     34    158
    10    390       0.356    203      7     26     31     17    165
    10    400       0.302    199     10     27     31     26    154
    10    410       0.260    172      7     29     17     28    154
    10    420       0.226    179      6     25     18     21    140
    10    430       0.196    164      7     31     27     20    145
    10    440       0.167    160      2     23     14     27    154
    10    450       0.144    135      4     25     16     17    161
    20    100    3075.000      4      3      3     14      0      1
    20    110     414.900     28      6      2     42     10      5
    20    120     223.400     39      9     10     64     12      7
    20    130     146.200     61     16     13     74     13     11
    20    140     100.800     83     10     19     92     20     11
    20    150      70.220    114     13     13     84     23     17
    20    160      50.130    103     18     17     96     32     34
    20    170      37.290    126     17     23     92     28     33
    20    180      27.750    141     18     19    110     35     44
    20    190      20.780    179      9     23     87     30     45
    20    200      15.850    171     14     28    103     34     62
    20    210      12.160    191     17     17     90     39     69
    20    220       9.499    198     15     31     78     38     63
    20    230       7.544    217     21     32     70     40     79
    20    240       5.953    200     12     39     74     47     97
    20    250       4.770    263     11     21     82     48     95
    20    260       3.793    238     13     36     78     43    110
    20    270       3.112    237     20     28     77     45    125
    20    280       2.505    238     10     28     62     35    140
    20    290       2.036    248     17     28     74     41    138
    20    300       1.691    244     14     35     64     35    142
    20    310       1.388    196      3     35     45     39    122
    20    320       1.161    232     11     22     46     35    143
    20    330       0.969    214     10     31     37     30    163
    20    340       0.805    218      9     30     47     40    203
    20    350       0.685    233      8     35     44     26    154
    20    360       0.574    217     12     25     39     35    181
    20    370       0.485    209      4     27     26     40    171
    20    380       0.414    205     13     29     28     25    186
    20    390       0.352    210      6     24     30     30    147
    20    400       0.304    203      4     32     22     30    173
    20    410       0.258    188     11     32     23     35    160
    20    420       0.225    172      3     26     25     30    174
    20    430       0.194    165      7     33     17     18    157
    20    440       0.168    138      2     20     15     22    161
    20    450       0.145    153      9     21     23     23    153
    30    100    2650.000      4      0      0     11      2      0
    30    110     375.500     40     12      3     47      6      3
    30    120     220.400     52      9     10     53      8     11
    30    130     143.600     51     18     10     83     13      9
    30    140      97.660     88     15     10     80     17     18
    30    150      68.790     94     12     12     79     22     20
    30    160      49.880    125     26     16     95     34     27
    30    170      36.680    128     18     15     95     22     34
    30    180      27.240    139     22     31    100     34     39
    30    190      20.820    182     10     25     98     27     55
    30    200      15.730    184     20     27    121     39     64
    30    210      12.130    182     18     21     76     37     57
    30    220       9.491    214     21     21    100     33     84
    30    230       7.503    227     19     29     76     39     90
    30    240       5.971    235     10     29     89     36     99
    30    250       4.759    256     18     30     75     44    110
    30    260       3.819    262     25     30     66     46    118
    30    270       3.071    250     16     28     59     38    114
    30    280       2.491    278     15     33     74     40    117
    30    290       2.026    265     18     43     64     44    148
    30    300       1.674    235     15     25     56     39    137
    30    310       1.382    213     20     42     49     43    152
    30    320       1.145    232      9     33     50     39    149
    30    330       0.966    231     13     33     46     26    171
    30    340       0.805    224     17     30     35     33    134
    30    350       0.675    226     10     38     39     39    157
    30    360       0.570    238     10     46     48     27    158
    30    370       0.486    221     12     40     44     23    163
    30    380       0.416    203      8     41     44     40    155
    30    390       0.353    217     13     23     47     38    157
    30    400       0.303    216      5     20     37     34    163
    30    410       0.260    192      5     27     31     24    156
    30    420       0.224    194      4     26     25     23    160
    30    430       0.194    182     11     29     19     30    153
    30    440       0.166    178      6     32     19     24    150
    30    450       0.144    192      5     30     19     19    146
    40    100    2362.000      6      3      1      8      2      1
    40    110     368.100     39      3      9     52      6      7
    40    120     218.000     58      8      7     57     13     13
    40    130     143.100     53     13     17     87      7     11
    40    140      96.490    103     17     24     84     23      9
    40    150      68.080    112     18     21     85     23     21
    40    160      49.080    137     19     18    101     22     19
    40    170      35.820    140     20     16     89     22     28
    40    180      27.190    158     18     19    101     30     35
    40    190      20.660    166     26     18    105     34     38
    40    200      15.570    204     19     23    100     16     52
    40    210      12.000    209     23     24     96     23     61
    40    220       9.491    212     21     38     83     29     69
    40    230       7.375    244     18     33     84     37     78
    40    240       5.821    237     11     36     89     37     87
    40    250       4.693    258     15     34     90     34    111
    40    260       3.759    257     20     24     61     37    114
    40    270       3.038    279     18     26     79     39    102
    40    280       2.482    248      9     35     76     40    111
    40    290       2.033    255     14     40     65     35    147
    40    300       1.678    260     10     39     54     34    138
    40    310       1.365    264     13     30     60     41    157
    40    320       1.147    244      7     33     48     39    166
    40    330       0.954    242      8     33     49     45    149
    40    340       0.799    226      9     44     48     38    156
    40    350       0.683    257      6     36     48     36    168
    40    360       0.574    222     10     40     31     39    178
    40    370       0.478    239      9     28     41     37    162
    40    380       0.413    229     14     18     37     30    177
    40    390       0.354    221      6     39     45     32    155
    40    400       0.300    206      2     26     21     32    162
    40    410       0.258    181      7     32     28     33    143
    40    420       0.221    189     11     29     24     35    151
    40    430       0.192    200      9     29     25     24    151
    40    440       0.165    169      5     27     21     25    156
    40    450       0.143    196      2     26     26     23    124
    50    100    2330.000     11      2      0     12      2      1
    50    110     361.300     35     14      9     43     12      5
    50    120     213.800     41      5     10     62      9     10
    50    130     140.200     65     19     12     80     15     10
    50    140      96.420     82     14     17     84     21     24
    50    150      67.070     98     19     18     94     23     16
    50    160      48.870    112     25     16     96     30     24
    50    170      35.440    117     27     22     98     27     40
    50    180      26.780    159     23     25    101     27     50
    50    190      20.270    191     18     22    112     21     38
    50    200      15.550    208     19     31    119     25     52
    50    210      11.940    236     15     28     82     21     55
    50    220       9.268    198     14     22    104     30     53
    50    230       7.288    237     14     15    100     31     73
    50    240       5.860    248     21     30     68     39     93
    50    250       4.696    278     23     40    102     35    101
    50    260       3.737    229     19     29     68     36     96
    50    270       3.039    281     13     38     60     36    129
    50    280       2.442    271     19     39     66     37    122
    50    290       2.021    268     15     27     57     42    137
    50    300       1.669    258     13     30     71     49    156
    50    310       1.359    268     11     40     58     39    148
    50    320       1.138    248     11     35     56     37    181
    50    330       0.941    249     13     38     52     40    159
    50    340       0.796    224      2     24     41     32    171
    50    350       0.671    229     18     35     47     37    147
    50    360       0.565    253      9     34     30     32    164
    50    370       0.480    217      9     34     44     40    133
    50    380       0.405    224      5     19     39     33    162
    50    390       0.348    225      6     37     29     24    172
    50    400       0.297    201      7     38     18     36    147
    50    410       0.255    216      6     31     23     25    170
    50    420       0.221    202      7     27     25     31    171
    50    430       0.191    177      8     27     21     31    144
    50    440       0.165    214      7     29     23     28    150
    50    450       0.142    195      4     28     24     21    155
    60    100    2270.000      3      1      2      8      0      0
    60    110     354.500     37     12      6     38     10      3
    60    120     208.800     47     21     13     56     12     16
    60    130     138.100     56     14     19     70     23     14
    60    140      94.890     74     20     18    107     13     18
    60    150      66.670    109     19     15    104     29      8
    60    160      48.190    128     20     14     92     35     39
    60    170      35.620    133     28     22    103     34     45
    60    180      26.510    162     22     28    110     30     35
    60    190      19.840    170     28     16     96     27     59
    60    200      15.150    193     18     24     99     36     44
    60    210      11.720    211     17     30     90     33     39
    60    220       9.133    242     23     22    107     29     53
    60    230       7.248    227     19     34    101     30     75
    60    240       5.783    253     20     34     80     27     80
    60    250       4.620    254     23     40    101     42     90
