Nm3jbins 5
m0_binning   50  10  500  10
m12_binning  26  100  350  10
NscanPoints  1300
    m0    m12      Xsec     nsel    n_a    n_d      sb1     sb2     sb3     sb4     sb5  slmsb1  slmsb2  slmsb3  slmsb4  slmsb5   slsb1   slsb2   slsb3   slsb4   slsb5  slsig1  slsig2  slsig3  slsig4  slsig5
    10    100    9785.000      7      0      1        0       2       3       4       1       0       1       0       0       0       0       0       2       0       1       1       1       0       0       0 
    10    110    3860.000     10      0      3        2       0       4       2       1       0       0       0       0       0       1       0       1       0       0       0       1       2       0       0 
    10    120     319.800    124     18     23       10       7      20      24      17       6       5      13       7       2       4       2       7       8       2       8      11      14       9       4 
    10    130     171.400    195     25     30       12      18      45      25      10       3       8      12       8       4       7       9      15       6       2       6       5      13       7       5 
    10    140     111.800    260     30     47       23      28      47      28      15       1       5       4       6       2       6       3       8       7       7       8      12      18       8       6 
    10    150      75.470    313     35     64       18      22      41      20      13       3       6       8       6       5       7       2      18       7       4      13      12      29      23       9 
    10    160      53.870    360     30     66       20      24      49      27      13       3       8       6      12       3       6       8       9       7       2      14      16      44      20      17 
    10    170      39.470    455     31     79       26      29      46      22      18       5       5      13       7       3       7       8      12       5       4      10      13      41      23      15 
    10    180      28.960    466     36     85       17      23      49      32      19       8       1       9       4       2       1      12       5       7       4      11      21      38      29      13 
    10    190      21.550    501     20     86       19      25      44      32      17       0       5       7       5       3       3       9      15      12       4      20      38      48      22      15 
    10    200      16.460    525     28     85       17      26      42      28      18       5       7       7       4       1       9      12      11      12       8      33      35      64      29      24 
    10    210      12.640    528     23     79       14      23      25      23      13       7       7      11      12       3       8      11      17      15       8      26      33      69      32      28 
    10    220       9.721    515     28     89       13      19      32      23      11       4       9      11       6       5       3       6      18       9       2      21      41      88      26      21 
    10    230       7.662    546     20    105        9      14      36      20      13       4       3       9      10       4       8      12      15      11       4      24      53     104      51      30 
    10    240       6.151    538     25     80       10      21      24      13       8       7       6       8       7       4       6       7      10      12       3      33      52      76      57      31 
    10    250       4.864    579     31     89        6      16      34      14      10       5       4      11       6       4       4       8      10       3       1      29      65     102      52      33 
    10    260       3.907    607     28     84        8      10      29      17      11       8       6      13       4       2       3       8      13       8       2      33      54      94      81      33 
    10    270       3.141    596     19     82        9      21      31      28       9       5       2       6      10       1       6      13      14       6      11      41      67      99      67      34 
    10    280       2.541    568     24     94       10      11      20      16       7       5       4       7       7       2       7       6      14       7      10      35      77     102      68      47 
    10    290       2.098    609     20     79        7      10      21      14      13       3       4      10       8       3      11       5      14       9       7      37      64     108      71      30 
    10    300       1.719    625     24    100        6      19      28      23      11       2       4      10       4       3       5       6      18      17       7      38      57     104      75      39 
    10    310       1.400    572     23    125       11      10      12      22       6       2       2       8       8       2       5       6      12       8       2      40      64     124      76      40 
    10    320       1.180    638     16    112        6      12      22      15       6       3       5       9      10       3       9       5      11      16       5      37      72     116      80      40 
    10    330       0.975    621     16    101        2      14      18      11       8       2       7      10       4       8       4      10      16       5       4      33      70     118      82      34 
    10    340       0.818    564     16     98        2      13      20       9      11       4       4       8       6       3       7       4      12       8       4      39      71     112      78      52 
    10    350       0.688    565     12     97        4       7       9      12       9       1       8       5       3       2       3       7       9      11       3      39      54      90      80      45 
    20    100    9618.000     11      2      2        1       0       2       2       1       0       0       0       0       0       0       0       0       0       1       0       0       0       0       0 
    20    110    3821.000     24      1      5        2       0       3       2       2       0       0       1       2       1       0       0       0       0       0       1       0       1       2       0 
    20    120     311.200    135     24     11       12      13      24      19       7       5       5      12      13       4       2       4       8       3       0       3       8      12       5       4 
