Using HT bins:  400-500-800-1000-99999	 Using MET bins: 125-150-250-350-99999
N_0lep_M1_H1_1b    2847
N_0lep_M1_H1_2b    805
N_0lep_M1_H1_3b    55
N_0lep_M1_H2_1b    2937
N_0lep_M1_H2_2b    816
N_0lep_M1_H2_3b    78
N_0lep_M1_H3_1b    484
N_0lep_M1_H3_2b    116
N_0lep_M1_H3_3b    9
N_0lep_M1_H4_1b    253
N_0lep_M1_H4_2b    48
N_0lep_M1_H4_3b    3
N_0lep_M2_H1_1b    2920
N_0lep_M2_H1_2b    1013
N_0lep_M2_H1_3b    96
N_0lep_M2_H2_1b    3380
N_0lep_M2_H2_2b    1059
N_0lep_M2_H2_3b    112
N_0lep_M2_H3_1b    547
N_0lep_M2_H3_2b    159
N_0lep_M2_H3_3b    12
N_0lep_M2_H4_1b    310
N_0lep_M2_H4_2b    63
N_0lep_M2_H4_3b    10
N_0lep_M3_H1_1b    401
N_0lep_M3_H1_2b    110
N_0lep_M3_H1_3b    8
N_0lep_M3_H2_1b    588
N_0lep_M3_H2_2b    195
N_0lep_M3_H2_3b    23
N_0lep_M3_H3_1b    106
N_0lep_M3_H3_2b    33
N_0lep_M3_H3_3b    2
N_0lep_M3_H4_1b    71
N_0lep_M3_H4_2b    22
N_0lep_M3_H4_3b    3
N_0lep_M4_H1_1b    63
N_0lep_M4_H1_2b    11
N_0lep_M4_H1_3b    0
N_0lep_M4_H2_1b    157
N_0lep_M4_H2_2b    43
N_0lep_M4_H2_3b    6
N_0lep_M4_H3_1b    51
N_0lep_M4_H3_2b    12
N_0lep_M4_H3_3b    1
N_0lep_M4_H4_1b    47
N_0lep_M4_H4_2b    12
N_0lep_M4_H4_3b    3
N_1lep_M1_H1_1b    837
N_1lep_M1_H1_2b    452
N_1lep_M1_H1_3b    39
N_1lep_M1_H2_1b    613
N_1lep_M1_H2_2b    335
N_1lep_M1_H2_3b    42
N_1lep_M1_H3_1b    58
N_1lep_M1_H3_2b    22
N_1lep_M1_H3_3b    4
N_1lep_M1_H4_1b    26
N_1lep_M1_H4_2b    17
N_1lep_M1_H4_3b    0
N_1lep_M2_H1_1b    1388
N_1lep_M2_H1_2b    684
N_1lep_M2_H1_3b    56
N_1lep_M2_H2_1b    1260
N_1lep_M2_H2_2b    623
N_1lep_M2_H2_3b    70
N_1lep_M2_H3_1b    132
N_1lep_M2_H3_2b    57
N_1lep_M2_H3_3b    9
N_1lep_M2_H4_1b    54
N_1lep_M2_H4_2b    18
N_1lep_M2_H4_3b    1
N_1lep_M3_H1_1b    233
N_1lep_M3_H1_2b    91
N_1lep_M3_H1_3b    6
N_1lep_M3_H2_1b    324
N_1lep_M3_H2_2b    150
N_1lep_M3_H2_3b    14
N_1lep_M3_H3_1b    54
N_1lep_M3_H3_2b    18
N_1lep_M3_H3_3b    2
N_1lep_M3_H4_1b    29
N_1lep_M3_H4_2b    12
N_1lep_M3_H4_3b    0
N_1lep_M4_H1_1b    31
N_1lep_M4_H1_2b    3
N_1lep_M4_H1_3b    0
N_1lep_M4_H2_1b    97
N_1lep_M4_H2_2b    31
N_1lep_M4_H2_3b    6
N_1lep_M4_H3_1b    25
N_1lep_M4_H3_2b    10
N_1lep_M4_H3_3b    1
N_1lep_M4_H4_1b    17
N_1lep_M4_H4_2b    7
N_1lep_M4_H4_3b    0
N_ldp_M1_H1_1b    6121
N_ldp_M1_H1_2b    1473
N_ldp_M1_H1_3b    77
N_ldp_M1_H2_1b    11529
N_ldp_M1_H2_2b    2696
N_ldp_M1_H2_3b    209
N_ldp_M1_H3_1b    3318
N_ldp_M1_H3_2b    687
N_ldp_M1_H3_3b    42
N_ldp_M1_H4_1b    2948
N_ldp_M1_H4_2b    504
N_ldp_M1_H4_3b    45
N_ldp_M2_H1_1b    3359
N_ldp_M2_H1_2b    831
N_ldp_M2_H1_3b    56
N_ldp_M2_H2_1b    8495
N_ldp_M2_H2_2b    1999
N_ldp_M2_H2_3b    161
N_ldp_M2_H3_1b    2738
N_ldp_M2_H3_2b    611
N_ldp_M2_H3_3b    54
N_ldp_M2_H4_1b    2692
N_ldp_M2_H4_2b    479
N_ldp_M2_H4_3b    56
N_ldp_M3_H1_1b    61
N_ldp_M3_H1_2b    13
N_ldp_M3_H1_3b    3
N_ldp_M3_H2_1b    417
N_ldp_M3_H2_2b    81
N_ldp_M3_H2_3b    9
N_ldp_M3_H3_1b    207
N_ldp_M3_H3_2b    51
N_ldp_M3_H3_3b    7
N_ldp_M3_H4_1b    282
N_ldp_M3_H4_2b    70
N_ldp_M3_H4_3b    4
N_ldp_M4_H1_1b    2
N_ldp_M4_H1_2b    0
N_ldp_M4_H1_3b    0
N_ldp_M4_H2_1b    24
N_ldp_M4_H2_2b    9
N_ldp_M4_H2_3b    1
N_ldp_M4_H3_1b    37
N_ldp_M4_H3_2b    7
N_ldp_M4_H3_3b    1
N_ldp_M4_H4_1b    65
N_ldp_M4_H4_2b    20
N_ldp_M4_H4_3b    0
R_lsb_H1_1b   0.1
R_lsb_H1_1b_err   0.01
R_lsb_H1_2b   0.1
R_lsb_H1_2b_err   0.01
R_lsb_H1_3b   0.1
R_lsb_H1_3b_err   0.01
R_lsb_H2_1b   0.1
R_lsb_H2_1b_err   0.01
R_lsb_H2_2b   0.1
R_lsb_H2_2b_err   0.01
R_lsb_H2_3b   0.1
R_lsb_H2_3b_err   0.01
R_lsb_H3_1b   0.1
R_lsb_H3_1b_err   0.01
R_lsb_H3_2b   0.1
R_lsb_H3_2b_err   0.01
R_lsb_H3_3b   0.1
R_lsb_H3_3b_err   0.01
R_lsb_H4_1b   0.1
R_lsb_H4_1b_err   0.01
R_lsb_H4_2b   0.1
R_lsb_H4_2b_err   0.01
R_lsb_H4_3b   0.1
R_lsb_H4_3b_err   0.01
N_Zee_M1_H1   28
N_Zee_M1_H2   13
N_Zee_M1_H3   4
N_Zee_M1_H4   1
N_Zee_M2_H1   76
N_Zee_M2_H2   57
N_Zee_M2_H3   11
N_Zee_M2_H4   8
N_Zee_M3_H1   37
N_Zee_M3_H2   37
N_Zee_M3_H3   4
N_Zee_M3_H4   3
N_Zee_M4_H1   11
N_Zee_M4_H2   19
N_Zee_M4_H3   3
N_Zee_M4_H4   5
N_Zmm_M1_H1   38
N_Zmm_M1_H2   30
N_Zmm_M1_H3   0
N_Zmm_M1_H4   1
N_Zmm_M2_H1   99
N_Zmm_M2_H2   90
N_Zmm_M2_H3   10
N_Zmm_M2_H4   2
N_Zmm_M3_H1   46
N_Zmm_M3_H2   38
N_Zmm_M3_H3   6
N_Zmm_M3_H4   2
N_Zmm_M4_H1   15
N_Zmm_M4_H2   25
N_Zmm_M4_H3   6
N_Zmm_M4_H4   4
N_ttbarsingletopzjetsmc_ldp_M1_H1_1b   0
N_ttbarsingletopzjetsmc_ldp_M1_H1_2b   0
N_ttbarsingletopzjetsmc_ldp_M1_H1_3b   0
N_ttbarsingletopzjetsmc_ldp_M1_H2_1b   0
N_ttbarsingletopzjetsmc_ldp_M1_H2_2b   0
N_ttbarsingletopzjetsmc_ldp_M1_H2_3b   0
N_ttbarsingletopzjetsmc_ldp_M1_H3_1b   0
N_ttbarsingletopzjetsmc_ldp_M1_H3_2b   0
N_ttbarsingletopzjetsmc_ldp_M1_H3_3b   0
N_ttbarsingletopzjetsmc_ldp_M1_H4_1b   0
N_ttbarsingletopzjetsmc_ldp_M1_H4_2b   0
N_ttbarsingletopzjetsmc_ldp_M1_H4_3b   0
N_ttbarsingletopzjetsmc_ldp_M2_H1_1b   0
N_ttbarsingletopzjetsmc_ldp_M2_H1_2b   0
N_ttbarsingletopzjetsmc_ldp_M2_H1_3b   0
N_ttbarsingletopzjetsmc_ldp_M2_H2_1b   0
N_ttbarsingletopzjetsmc_ldp_M2_H2_2b   0
N_ttbarsingletopzjetsmc_ldp_M2_H2_3b   0
N_ttbarsingletopzjetsmc_ldp_M2_H3_1b   0
N_ttbarsingletopzjetsmc_ldp_M2_H3_2b   0
